old_url	new_url	collection	document_id	field	status
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/3906add3a7ccdca35e1fda3eeb314a7d.png	(collected)	products	696ce63a5486030643110517	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/e18e1acbad339adfd9daac6066d6d902.png	(collected)	products	69806ae61f9142744b7c2256	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/b6918248c618bcdcf0e0d3a1debfaf8b.png	(collected)	products	69806ae61f9142744b7c2256	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/6b86ba71bd22b8309d38f6abf6aee5eb.png	(collected)	products	69806ae61f9142744b7c2256	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/6178f10618e4399ca87333f4ee6e96f4.png	(collected)	products	69806ae61f9142744b7c2256	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/a11042baa33ec562a1dd484e9ed8ba4c.png	(collected)	products	69806ae61f9142744b7c2256	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/f905662835ef1a71864df19c35d64606.png	(collected)	products	69a3f53951cb8571efc2f681	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/50e8274e60879d208e5e7f51a0dbb73a.png	(collected)	products	69a3f53951cb8571efc2f681	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/34fb10b5498845bd95d948ff303eb26c.png	(collected)	products	69a3f53951cb8571efc2f681	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/b52cfade6b720f46e379c44509298114.png	(collected)	products	69a3f77c51cb8571efc2f69e	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/44794ae12499288dc217e543c659345e.png	(collected)	products	69a3f77c51cb8571efc2f69e	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/6ce4d772ac9b81e376b1e6d3c65d2f4c.png	(collected)	products	69a3f77c51cb8571efc2f69e	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/70ed4c9ec2fdedb3962074352bf35871.png	(collected)	products	69be7012a210c4947d5dd703	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/8dfa893cffc7fa360593b795be838bcd.png	(collected)	products	69be7285a210c4947d5dd714	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/products/8b7c0f0e38e0ed774d2988928d3a7b1c.png	(collected)	products	69be7285a210c4947d5dd714	images	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/blogs/4271710440e223939e4a6126c63db5bb.png	(collected)	blogs	696521c9b5bfd48f4b79647f	coverImage	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/blogs/edb31f9a79d75ff5fa5ef37b34b6fdfe.png	(collected)	blogs	698c33331f9142744b7c276e	coverImage	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/blogs/fc558034891f505c8e17dfa12dbfcd9a.png	(collected)	blogs	698c46461f9142744b7c2812	coverImage	verified
https://pub-65b5b6aff0e441c89e88b4e0e09bb13f.r2.dev/blogs/16bf103c4907acaf1810a3dd7bbb348b.png	(collected)	blogs	698c776c1f9142744b7c28d0	coverImage	verified
